0,0.0,0.0,0,0.0
1,0.0,0.0,0,0.0
2,472.9,604.1,0,604.1
3,831.4,1865.8,0,1865.8
4,830.7,1864.6,0,1864.6
5,829.7,1862.1,0,1862.1
6,827.6,1857.7,0,1857.7
7,826.8,1856.1,0,1856.1
8,825.4,1852.9,0,1852.9
9,824.3,1850.3,0,1850.3
10,822.3,1843.7,0,1843.7
11,819.9,1836.3,0,1836.3
12,819.6,1835.5,0,1835.5
13,819.6,1834.6,0,1834.6
14,819.2,1834.6,0,1833.2
15,818.8,1833.2,0,1833.2
16,818.6,1833.0,0,1833.0
17,818.2,1832.1,0,1832.1
18,817.4,1829.1,0,1829.1
19,817.2,1829.1,0,1829.1
20,817.5,1830.7,0,1830.7
21,817.2,1829.7,0,1829.7
22,818.0,1833.8,0,1833.8
23,818.8,1837.6,0,1837.6
24,818.3,1835.7,0,1835.7
25,818.3,1835.8,0,1835.8
26,818.4,1836.7,0,1836.7
27,818.4,1836.7,0,1836.7
28,818.6,1837.5,0,1837.5
29,190.5,100.5,0,100.5
30,0.0,0.0,0,0.0
31,0.0,0.0,0,0.0
32,0.0,0.0,0,0.0
